fake_key,real_key,fake_path,real_path,ssim,lpips
00599_04395_00,00599_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00599_04395_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00599_00.jpg,0.8471612181515648,0.17739175260066986
00609_09889_00,00609_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00609_09889_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00609_00.jpg,0.7345346987750211,0.25796669721603394
00611_08735_00,00611_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00611_08735_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00611_00.jpg,0.7417145653302685,0.2579136788845062
00617_02425_00,00617_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00617_02425_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00617_00.jpg,0.8947279169792504,0.1049429401755333
00620_00112_00,00620_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00620_00112_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00620_00.jpg,0.774828413718046,0.2596377730369568
00624_13684_00,00624_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00624_13684_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00624_00.jpg,0.7420556556142758,0.2884669303894043
00627_00986_00,00627_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00627_00986_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00627_00.jpg,0.8073236543687367,0.16683200001716614
00633_04766_00,00633_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00633_04766_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00633_00.jpg,0.7730203684417698,0.25126856565475464
00641_08981_00,00641_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00641_08981_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00641_00.jpg,0.7932682329304325,0.2080816775560379
00645_02872_00,00645_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00645_02872_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00645_00.jpg,0.777714045582438,0.2546817362308502
00654_05838_00,00654_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00654_05838_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00654_00.jpg,0.7550770928630515,0.22164350748062134
00664_06769_00,00664_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00664_06769_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00664_00.jpg,0.8237783479741897,0.1799515187740326
00683_09165_00,00683_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00683_09165_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00683_00.jpg,0.8085622404139524,0.2533777952194214
00684_06820_00,00684_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00684_06820_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00684_00.jpg,0.8930828763651784,0.12393680959939957
00690_13770_00,00690_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00690_13770_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00690_00.jpg,0.8195658378777632,0.18725895881652832
00698_14173_00,00698_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00698_14173_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00698_00.jpg,0.8722770521794119,0.1314801573753357
00705_00814_00,00705_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00705_00814_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00705_00.jpg,0.7879708485257,0.22156116366386414
00709_04714_00,00709_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00709_04714_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00709_00.jpg,0.9128098557615439,0.1098935604095459
00713_04852_00,00713_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00713_04852_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00713_00.jpg,0.7079596360852655,0.31402844190597534
00714_10371_00,00714_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00714_10371_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00714_00.jpg,0.8436569264581938,0.16984038054943085
00725_01875_00,00725_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00725_01875_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00725_00.jpg,0.8851490150871811,0.11679603904485703
